,Request Id,prefill_time_execution_plus_preemption,cdf
33,33,0.1543438461105069,0.0078125
0,0,0.15434384611051177,0.015625
98,98,0.15434384611054952,0.0234375
1,1,0.1701338653173785,0.03125
25,25,0.17013386531738917,0.0390625
34,34,0.17048394531737188,0.046875
87,87,0.1704839453174145,0.0546875
97,97,0.1704839453174145,0.0625
61,61,0.17059722531736554,0.0703125
65,65,0.17084234531738218,0.078125
72,72,0.1709441053173606,0.0859375
6,6,0.17094410531737836,0.09375
115,115,0.17094410531740323,0.1015625
109,109,0.1710836253173511,0.109375
110,110,0.1710836253173511,0.1171875
60,60,0.17131530531737837,0.125
86,86,0.171315305317421,0.1328125
2,2,0.1741461591586484,0.140625
26,26,0.17414615915865284,0.1484375
78,78,0.1743899991586204,0.15625
35,35,0.17460631915864155,0.1640625
7,7,0.17460631915865044,0.171875
112,112,0.1746063191586984,0.1796875
55,55,0.1750242391586312,0.1875
62,62,0.1750242391586312,0.1953125
73,73,0.1750242391586312,0.203125
74,74,0.1750242391586312,0.2109375
84,84,0.1750242391586312,0.21875
101,101,0.1750242391586312,0.2265625
111,111,0.1750242391586312,0.234375
116,116,0.1750242391586312,0.2421875
117,117,0.1750242391586312,0.25
32,32,0.1750242391586525,0.2578125
37,37,0.17506135915863297,0.265625
39,39,0.17506135915863297,0.2734375
77,77,0.1750613591586898,0.28125
122,122,0.1750613591586898,0.2890625
30,30,0.1753634391586516,0.296875
31,31,0.1753634391586516,0.3046875
38,38,0.17537239915864689,0.3125
64,64,0.17537239915864689,0.3203125
76,76,0.17537239915864689,0.328125
24,24,0.1755925591586447,0.3359375
36,36,0.1767701591586217,0.34375
3,3,0.1771618391586487,0.3515625
27,27,0.17716183915865003,0.359375
79,79,0.17747287915867105,0.3671875
113,113,0.17747287915867105,0.375
85,85,0.17763031915865213,0.3828125
104,104,0.17763031915865213,0.390625
56,56,0.17763031915866634,0.3984375
63,63,0.17795518315864456,0.40625
75,75,0.17809495915861362,0.4140625
57,57,0.17829719915863507,0.421875
118,118,0.1782971991586919,0.4296875
120,120,0.1782971991586919,0.4375
102,102,0.1785260631586425,0.4453125
100,100,0.17860203115867535,0.453125
54,54,0.17867863915864746,0.4609375
21,21,0.178678639158651,0.46875
83,83,0.17888023915864437,0.4765625
114,114,0.17888023915864437,0.484375
96,96,0.17931863915865165,0.4921875
67,67,0.181648426893517,0.5
41,41,0.18186538689352005,0.5078125
20,20,0.18264701889352253,0.515625
68,68,0.183792106893506,0.5234375
42,42,0.18387850689353513,0.53125
80,80,0.18429361089351914,0.5390625
119,119,0.18457034689350849,0.546875
4,4,0.1845703468935218,0.5546875
58,58,0.1845703468935227,0.5625
22,22,0.1849095468935218,0.5703125
28,28,0.1849095468935218,0.578125
105,105,0.1849095468935218,0.5859375
121,121,0.1849095468935218,0.59375
103,103,0.18546634689352004,0.6015625
127,127,0.18566090689355974,0.609375
69,69,0.18579827436835217,0.6171875
10,10,0.1857982743683575,0.625
91,91,0.1857982743683806,0.6328125
81,81,0.1860552983683874,0.640625
59,59,0.1864408343683408,0.6484375
106,106,0.18644083436839765,0.65625
107,107,0.18644083436839765,0.6640625
90,90,0.1867111544114266,0.671875
23,23,0.18674803436835674,0.6796875
5,5,0.18740403436835606,0.6875
29,29,0.18740403436835606,0.6953125
53,53,0.18740403436837028,0.703125
9,9,0.18759072236835728,0.7109375
70,70,0.18761331436836315,0.71875
124,124,0.18818464236835553,0.7265625
108,108,0.18835366636832873,0.734375
71,71,0.18840473836834803,0.7421875
82,82,0.1885758743683823,0.75
92,92,0.18934963436836938,0.7578125
19,19,0.19084120838817498,0.765625
12,12,0.19175684707446905,0.7734375
44,44,0.19188151907445672,0.78125
126,126,0.19201003107448855,0.7890625
99,99,0.20152728417150456,0.796875
13,13,0.2017418104114519,0.8046875
45,45,0.20205669041145313,0.8125
46,46,0.20270149041145658,0.8203125
47,47,0.20301266438816867,0.828125
14,14,0.2039050104114537,0.8359375
48,48,0.20434162438819214,0.84375
88,88,0.2048904841714716,0.8515625
95,95,0.204898290411478,0.859375
66,66,0.20510680417146432,0.8671875
49,49,0.20519659107448263,0.875
50,50,0.20519659107448263,0.8828125
15,15,0.2052453043881748,0.890625
17,17,0.2052453043881748,0.8984375
40,40,0.20556184417145573,0.90625
16,16,0.2058263510744638,0.9140625
94,94,0.20584915171784246,0.921875
51,51,0.2066871510744619,0.9296875
8,8,0.2085954441714737,0.9375
123,123,0.20879768417151467,0.9453125
52,52,0.20961286371786514,0.953125
89,89,0.21159845217150064,0.9609375
18,18,0.21560722017147071,0.96875
43,43,0.21582366817146692,0.9765625
11,11,0.21582366817147225,0.984375
125,125,0.2164662281714982,0.9921875
93,93,0.21937502817146992,1.0
