,Request Id,request_execution_time,cdf
127,127,19.877288202065003,0.0078125
126,126,20.280341468358696,0.015625
125,125,20.677244706652385,0.0234375
124,124,21.05740210494608,0.03125
123,123,25.23178368152284,0.0390625
122,122,25.76125310298537,0.046875
121,121,26.12752506127906,0.0546875
0,0,26.37994572433182,0.0625
120,120,26.505108424120365,0.0703125
1,1,26.534184214429235,0.078125
2,2,26.59429589442922,0.0859375
3,3,26.644668722429213,0.09375
4,4,27.9953083155498,0.1015625
119,119,28.088861066533212,0.109375
5,5,28.801769047551943,0.1171875
118,118,28.88376759726748,0.125
114,114,29.18024657067731,0.1328125
113,113,29.184359718677317,0.140625
115,115,29.187737902677284,0.1484375
116,116,29.192953342677264,0.15625
117,117,29.197110142677246,0.1640625
108,108,29.55430891852732,0.171875
109,109,29.554308918527333,0.1796875
110,110,29.554308918527347,0.1875
111,111,29.55430891852735,0.1953125
94,94,29.558137277547747,0.203125
93,93,29.55828687754775,0.2109375
92,92,29.561361997547774,0.21875
91,91,29.565731197547784,0.2265625
89,89,29.567645169547806,0.234375
90,90,29.56965316954779,0.2421875
84,84,29.585078710628732,0.25
79,79,29.5871090205594,0.2578125
80,80,29.58939043255939,0.265625
78,78,29.592597448559413,0.2734375
81,81,29.594985792559378,0.28125
82,82,29.60088347255937,0.2890625
102,102,29.621788541477716,0.296875
101,101,29.62211608947772,0.3046875
103,103,29.627685501477714,0.3125
104,104,29.628517661477694,0.3203125
105,105,29.631582541477663,0.328125
55,55,29.63399084529468,0.3359375
106,106,29.63571990147765,0.34375
43,43,29.639027379267535,0.3515625
54,54,29.639208633294693,0.359375
56,56,29.639344925294672,0.3671875
57,57,29.64071028529467,0.375
60,60,29.64208512236379,0.3828125
58,58,29.643231565294663,0.390625
42,42,29.643627887267556,0.3984375
44,44,29.644381459267528,0.40625
45,45,29.64550081926752,0.4140625
46,46,29.64795945926751,0.421875
48,48,29.650765058868274,0.4296875
36,36,29.652817636219932,0.4375
34,34,29.652995190678762,0.4453125
33,33,29.65998799067877,0.453125
32,32,29.667632870678773,0.4609375
31,31,29.673729430678787,0.46875
30,30,29.67774929867881,0.4765625
24,24,29.682690178678815,0.484375
19,19,29.709075325539093,0.4921875
18,18,29.70989023353912,0.5
112,112,29.768662439263313,0.5078125
6,6,29.78453057445887,0.515625
7,7,29.796744014458863,0.5234375
22,22,29.900725859125146,0.53125
85,85,29.902409531939757,0.5390625
86,86,29.902409531939774,0.546875
87,87,29.902409531939785,0.5546875
21,21,29.910681379125155,0.5625
20,20,29.915091831125157,0.5703125
99,99,29.919763402247582,0.578125
97,97,29.919979962247563,0.5859375
98,98,29.919979962247577,0.59375
96,96,29.94294425489258,0.6015625
52,52,29.953500266064655,0.609375
51,51,29.954607466064626,0.6171875
63,63,29.955782610064468,0.625
64,64,29.95578261006449,0.6328125
61,61,29.957064050064446,0.640625
62,62,29.957064050064464,0.6484375
49,49,29.95717034606461,0.65625
50,50,29.95717034606463,0.6640625
40,40,29.9603921600375,0.671875
37,37,29.962606560037486,0.6796875
39,39,29.962606560037486,0.6875
38,38,29.962606560037496,0.6953125
67,67,29.97125778688908,0.703125
68,68,29.97644546688907,0.7109375
66,66,29.976475574889086,0.71875
69,69,29.981423546889065,0.7265625
72,72,29.98331521969864,0.734375
70,70,29.983944826889058,0.7421875
28,28,29.99575845144874,0.75
27,27,29.997419251448736,0.7578125
26,26,29.997419251448747,0.765625
25,25,29.99741925144875,0.7734375
13,13,29.998009393276607,0.78125
14,14,30.009850565276594,0.7890625
16,16,30.022916986309042,0.796875
15,15,30.027190405276574,0.8046875
83,83,30.096849704134605,0.8125
88,88,30.109607132675723,0.8203125
12,12,30.13668356419784,0.828125
59,59,30.155909235869725,0.8359375
100,100,30.15790796298362,0.84375
47,47,30.162184452374206,0.8515625
65,65,30.1651793308004,0.859375
53,53,30.16574570680058,0.8671875
35,35,30.165991829725833,0.875
41,41,30.169561040773438,0.8828125
77,77,30.17076906043457,0.890625
107,107,30.183619152947944,0.8984375
23,23,30.199608372184695,0.90625
29,29,30.204330052184698,0.9140625
8,8,30.21813267862485,0.921875
17,17,30.23033770704502,0.9296875
9,9,30.242532998624846,0.9375
10,10,30.26028478662483,0.9453125
73,73,30.299619892468556,0.953125
74,74,30.299619892468566,0.9609375
75,75,30.299619892468577,0.96875
95,95,30.454437406966402,0.9765625
11,11,30.49033708371449,0.984375
76,76,30.494626613204506,0.9921875
71,71,30.496528293204545,1.0
