,Request Id,request_execution_plus_preemption_time_normalized,cdf
127,127,0.03882282851965821,0.0078125
126,126,0.03961004193038808,0.015625
125,125,0.04038524356768044,0.0234375
124,124,0.04112773848622281,0.03125
122,122,0.0503149474667683,0.0390625
121,121,0.05103032238531066,0.046875
0,0,0.05152333149283558,0.0546875
120,120,0.05176778989086009,0.0625
1,1,0.0518245785438071,0.0703125
2,2,0.05194198416880707,0.078125
3,3,0.052040368598494556,0.0859375
4,4,0.0546783365538082,0.09375
119,119,0.05486105677057268,0.1015625
5,5,0.05625345517099989,0.109375
118,118,0.056413608588413044,0.1171875
114,114,0.05699266908335412,0.125
113,113,0.057000702575541635,0.1328125
115,115,0.05700730059116657,0.140625
116,116,0.05701748699741653,0.1484375
117,117,0.0570256057474165,0.15625
108,108,0.05772325960649867,0.1640625
109,109,0.0577232596064987,0.171875
110,110,0.057723259606498725,0.1796875
111,111,0.05772325960649873,0.1875
94,94,0.05773073687021044,0.1953125
93,93,0.05773102905771045,0.203125
92,92,0.057737035151460496,0.2109375
91,91,0.057745568745210515,0.21875
89,89,0.05774930697177306,0.2265625
90,90,0.05775322884677303,0.234375
84,84,0.05778335685669674,0.2421875
79,79,0.05778732230578008,0.25
80,80,0.05779177818859256,0.2578125
78,78,0.057798041891717604,0.265625
81,81,0.057802706626092534,0.2734375
82,82,0.05781422553234252,0.28125
102,102,0.057855055745073665,0.2890625
101,101,0.057855695487261175,0.296875
103,103,0.05786657324507366,0.3046875
104,104,0.05786819855757362,0.3125
105,105,0.05787418465132356,0.3203125
55,55,0.05787888836971617,0.328125
106,106,0.057882265432573535,0.3359375
43,43,0.057888725350131905,0.34375
54,54,0.0578890793619037,0.3515625
56,56,0.05788934555721616,0.359375
57,57,0.05789201227596615,0.3671875
60,60,0.057894697504616774,0.375
58,58,0.05789693665096614,0.3828125
42,42,0.057897710717319445,0.390625
44,44,0.05789918253763189,0.3984375
45,45,0.05790136878763188,0.40625
46,46,0.05790617081888186,0.4140625
48,48,0.0579116505056021,0.421875
36,36,0.057915659445742056,0.4296875
34,34,0.05791600623179446,0.4375
33,33,0.05792966404429447,0.4453125
32,32,0.05794459545054448,0.453125
31,31,0.057956502794294505,0.4609375
30,30,0.05796435409898205,0.46875
24,24,0.05797400425523206,0.4765625
19,19,0.05802553774519354,0.484375
18,18,0.058027129362381094,0.4921875
6,6,0.05817291127823998,0.5
7,7,0.05819676565323997,0.5078125
22,22,0.0583998551936038,0.515625
85,85,0.05840314361706984,0.5234375
86,86,0.05840314361706987,0.53125
87,87,0.05840314361706989,0.5390625
21,21,0.05841929956860382,0.546875
20,20,0.05842791373266632,0.5546875
99,99,0.05843703789501481,0.5625
97,97,0.05843746086376477,0.5703125
98,98,0.0584374608637648,0.578125
96,96,0.05848231299783707,0.5859375
52,52,0.05850293020715753,0.59375
51,51,0.05850509270715747,0.6015625
63,63,0.05850738791028216,0.609375
64,64,0.058507387910282205,0.6171875
61,61,0.05850989072278212,0.625
62,62,0.058509890722782155,0.6328125
49,49,0.058510098332157444,0.640625
50,50,0.05851009833215748,0.6484375
40,40,0.05851639093757324,0.65625
37,37,0.058520715937573214,0.6640625
39,39,0.058520715937573214,0.671875
38,38,0.058520715937573235,0.6796875
67,67,0.058537612865017734,0.6875
68,68,0.05854774505251772,0.6953125
66,66,0.05854780385720525,0.703125
69,69,0.058557467865017705,0.7109375
72,72,0.058561162538473904,0.71875
70,70,0.05856239224001769,0.7265625
28,28,0.05858546572548582,0.734375
27,27,0.05858870947548581,0.7421875
26,26,0.058588709475485834,0.75
25,25,0.05858870947548584,0.7578125
13,13,0.058589862096243374,0.765625
14,14,0.05861298938530585,0.7734375
16,16,0.05863850973888485,0.78125
15,15,0.05864685626030581,0.7890625
8,8,0.05901979038793916,0.796875
9,9,0.05906744726293915,0.8046875
10,10,0.05910211872387662,0.8125
73,73,0.05917894510247765,0.8203125
74,74,0.05917894510247767,0.828125
75,75,0.05917894510247769,0.8359375
77,77,0.06356404629908542,0.84375
65,65,0.06558941160859849,0.8515625
107,107,0.06674083306132451,0.859375
53,53,0.06716938951602686,0.8671875
41,41,0.06894275480489075,0.875
112,112,0.07046348793622538,0.8828125
29,29,0.07081796164564182,0.890625
17,17,0.07260699931178442,0.8984375
123,123,0.07512318367305777,0.90625
76,76,0.07896740596328974,0.9140625
88,88,0.07922754101275503,0.921875
100,100,0.07929252340251965,0.9296875
95,95,0.08347246450091352,0.9375
83,83,0.08347885578362207,0.9453125
12,12,0.08447895206149414,0.953125
71,71,0.08599436339192285,0.9609375
59,59,0.08635545663860678,0.96875
47,47,0.08775688257486491,0.9765625
35,35,0.08931215727516056,0.984375
23,23,0.09058010529175115,0.9921875
11,11,0.105216606544138,1.0
