,Request Id,prefill_e2e_time,cdf
33,33,0.1543438461105069,0.0078125
0,0,0.15434384611051177,0.015625
98,98,0.15434384611054952,0.0234375
65,65,0.17130095077968122,0.03125
110,110,0.1714899680243036,0.0390625
25,25,0.17214651167855521,0.046875
97,97,0.1723984156628262,0.0546875
72,72,0.1738667190816443,0.0625
6,6,0.1747287401342863,0.0703125
31,31,0.17604401010045478,0.078125
109,109,0.17611013242199647,0.0859375
111,111,0.1764137544525397,0.09375
24,24,0.17656478091813455,0.1015625
38,38,0.17669936649144802,0.109375
55,55,0.17695912461512364,0.1171875
87,87,0.1772593020642148,0.125
73,73,0.17728299972065997,0.1328125
61,61,0.17729888511338743,0.140625
3,3,0.17756386220219333,0.1484375
78,78,0.17771785549604147,0.15625
115,115,0.17780386153424388,0.1640625
60,60,0.17823782427367973,0.171875
35,35,0.17824021856470296,0.1796875
7,7,0.17837892528667254,0.1875
39,39,0.1784946039135491,0.1953125
36,36,0.17885746013014625,0.203125
37,37,0.17900293489202568,0.2109375
30,30,0.17918487356476476,0.21875
120,120,0.17953282415089689,0.2265625
85,85,0.1796131817275466,0.234375
104,104,0.1796871685601218,0.2421875
86,86,0.1800291528584239,0.25
34,34,0.18025653827920252,0.2578125
79,79,0.1804228920926505,0.265625
64,64,0.1805823193722773,0.2734375
122,122,0.18080435263061645,0.28125
27,27,0.18084132535900466,0.2890625
77,77,0.18086346383071827,0.296875
74,74,0.18102018768828998,0.3046875
112,112,0.18116186023647174,0.3125
118,118,0.181590363169704,0.3203125
83,83,0.18159202663076712,0.328125
62,62,0.1816804024500982,0.3359375
114,114,0.18178559001384542,0.34375
101,101,0.18178632481988188,0.3515625
76,76,0.18225804178101157,0.359375
32,32,0.18267653164343045,0.3671875
116,116,0.18382876618619548,0.375
113,113,0.18393601521034952,0.3828125
20,20,0.183962363581184,0.390625
63,63,0.18405171379420437,0.3984375
26,26,0.18419729777788518,0.40625
80,80,0.18457944755488143,0.4140625
2,2,0.18470057659148553,0.421875
84,84,0.1852208652839522,0.4296875
75,75,0.1854944030469312,0.4375
103,103,0.1856143335313334,0.4453125
117,117,0.18568056844489433,0.453125
57,57,0.18649314261048744,0.4609375
121,121,0.18711729233493202,0.46875
56,56,0.1871472267791603,0.4765625
102,102,0.1876745366404009,0.484375
54,54,0.18832348441925717,0.4921875
4,4,0.18835435281871238,0.5
10,10,0.18854443965891754,0.5078125
53,53,0.18866735529745426,0.515625
82,82,0.18886592023301318,0.5234375
119,119,0.1894388190486893,0.53125
68,68,0.18992329937903207,0.5390625
21,21,0.19018208202894016,0.546875
96,96,0.1902640050161324,0.5546875
42,42,0.19065298285900667,0.5625
92,92,0.19078833610839752,0.5703125
127,127,0.1918675686801805,0.578125
22,22,0.19215217626867087,0.5859375
28,28,0.19244204690932776,0.59375
59,59,0.19289574776246354,0.6015625
70,70,0.1931621705692237,0.609375
81,81,0.19394636931113496,0.6171875
5,5,0.19420749386118175,0.625
91,91,0.1947314161168947,0.6328125
105,105,0.19506216462855264,0.640625
58,58,0.19508150078421238,0.6484375
108,108,0.19551552487794766,0.65625
90,90,0.19595437673686433,0.6640625
69,69,0.19691048059399918,0.671875
107,107,0.19701281572292828,0.6796875
106,106,0.19793655962965317,0.6875
29,29,0.19869762822428072,0.6953125
71,71,0.19984105307406708,0.703125
23,23,0.19990448094488755,0.7109375
44,44,0.2020194866277052,0.71875
99,99,0.2033388935799394,0.7265625
49,49,0.20617695311307216,0.734375
66,66,0.20650684654941642,0.7421875
13,13,0.20667526572864148,0.75
47,47,0.20669451293916552,0.7578125
46,46,0.2067693209878172,0.765625
48,48,0.20950789090538535,0.7734375
14,14,0.21042330488462468,0.78125
40,40,0.21101530499677779,0.7890625
16,16,0.21288472464627262,0.796875
15,15,0.21305595368712105,0.8046875
88,88,0.21333954225829643,0.8125
17,17,0.2147879358114153,0.8203125
8,8,0.21627366721452823,0.828125
45,45,0.217015499599313,0.8359375
51,51,0.21710655864148976,0.84375
52,52,0.2175605401863976,0.8515625
125,125,0.21863872379768168,0.859375
123,123,0.2191837784394579,0.8671875
18,18,0.21969029975999987,0.875
50,50,0.22033822475236775,0.8828125
95,95,0.22070017858334268,0.890625
43,43,0.22176243453218092,0.8984375
93,93,0.22191909315898783,0.90625
11,11,0.22552557433673037,0.9140625
94,94,0.2504738661729107,0.921875
41,41,0.2556945253155618,0.9296875
1,1,0.27382003334241256,0.9375
67,67,0.279621685741688,0.9453125
89,89,0.2851761851570416,0.953125
9,9,0.29938622910720625,0.9609375
100,100,0.3162818752538783,0.96875
12,12,0.3181801919896241,0.9765625
126,126,0.3258689938715804,0.984375
19,19,0.3523125489786807,0.9921875
124,124,0.36220604730101513,1.0
