,Request Id,request_e2e_time,cdf
97,97,5.711212534369821,0.0078125
98,98,5.779251269226876,0.015625
127,127,5.78039842338714,0.0234375
109,109,5.8192416195378485,0.03125
32,32,5.833875418352534,0.0390625
96,96,5.9217282610059385,0.046875
114,114,6.0029925971296905,0.0546875
31,31,6.054342575933866,0.0625
71,71,6.066118524191737,0.0703125
63,63,6.073257543626738,0.078125
37,37,6.113907227849154,0.0859375
60,60,6.15054399267224,0.09375
36,36,6.154346457086845,0.1015625
33,33,6.176727258935379,0.109375
30,30,6.245754958522589,0.1171875
85,85,6.279349181720221,0.125
61,61,6.279537706069789,0.1328125
34,34,6.279712127236806,0.140625
62,62,6.306501879406667,0.1484375
84,84,6.318369479118331,0.15625
35,35,6.330697791521864,0.1640625
29,29,6.387153025182066,0.171875
83,83,6.503312063589078,0.1796875
75,75,6.526568040002957,0.1875
74,74,6.553627392645154,0.1953125
73,73,6.556524060678868,0.203125
23,23,6.611265318779154,0.2109375
59,59,6.63070893175518,0.21875
72,72,6.6309100511645624,0.2265625
4,4,6.634844681861914,0.234375
28,28,6.665619767077132,0.2421875
113,113,6.687178581042929,0.25
99,99,6.709103969668263,0.2578125
116,116,6.715499550003273,0.265625
115,115,6.7236874124753,0.2734375
100,100,6.7376783550719495,0.28125
22,22,6.761563240436949,0.2890625
58,58,6.786019061828341,0.296875
112,112,6.8155405851934745,0.3046875
110,110,6.846825780106542,0.3125
21,21,6.847547189932008,0.3203125
111,111,6.891362750534853,0.328125
108,108,6.893444548868274,0.3359375
5,5,6.919726754928783,0.34375
53,53,6.928085343378541,0.3515625
57,57,6.931070922513726,0.359375
95,95,6.950453784669008,0.3671875
119,119,7.027772483740563,0.375
20,20,7.0646284946083675,0.3828125
117,117,7.075112147121189,0.390625
3,3,7.08755821810463,0.3984375
27,27,7.089073889261996,0.40625
107,107,7.111680552764682,0.4140625
101,101,7.124079137830961,0.421875
54,54,7.146728045694175,0.4296875
118,118,7.159910230720783,0.4375
2,2,7.206759347618226,0.4453125
26,26,7.210703300805186,0.453125
125,125,7.223555673549242,0.4609375
126,126,7.228557827437044,0.46875
82,82,7.231479940313534,0.4765625
64,64,7.232063075033764,0.484375
56,56,7.257761005806344,0.4921875
121,121,7.2589580061084575,0.5
24,24,7.264277880352715,0.5078125
81,81,7.271679097477147,0.515625
25,25,7.300596481830155,0.5234375
122,122,7.306993067277972,0.53125
120,120,7.309305340783197,0.5390625
0,0,7.311160049544641,0.546875
1,1,7.327705907493497,0.5546875
55,55,7.332280006766624,0.5625
86,86,7.334759962462158,0.5703125
94,94,7.381969714636341,0.578125
106,106,7.396850491005125,0.5859375
70,70,7.4133655236115885,0.59375
80,80,7.437136162054827,0.6015625
18,18,7.437565383145554,0.609375
93,93,7.466187842451859,0.6171875
19,19,7.4775177148644865,0.625
76,76,7.481886973389862,0.6328125
38,38,7.4914517911316665,0.640625
79,79,7.519656978328101,0.6484375
123,123,7.52054701180802,0.65625
105,105,7.527178066337996,0.6640625
124,124,7.571905689189634,0.671875
78,78,7.575283876856162,0.6796875
92,92,7.596265986413812,0.6875
104,104,7.5987789691296825,0.6953125
77,77,7.599336268315625,0.703125
69,69,7.600268187970514,0.7109375
103,103,7.671469813225912,0.71875
102,102,7.720791099194514,0.7265625
68,68,7.764747425089666,0.734375
91,91,7.853839708757761,0.7421875
65,65,7.867042417157705,0.75
90,90,7.952636095713132,0.7578125
67,67,7.959593358311665,0.765625
66,66,7.971084039124477,0.7734375
17,17,8.008301202762471,0.78125
89,89,8.130437319656295,0.7890625
88,88,8.160854654040605,0.796875
87,87,8.233187121983576,0.8046875
52,52,8.302969803210445,0.8125
39,39,8.44437775179506,0.8203125
16,16,8.513343575076565,0.828125
51,51,8.598029155698129,0.8359375
15,15,8.636599656030164,0.84375
50,50,8.695992237344015,0.8515625
7,7,8.970057553897577,0.859375
49,49,8.991343503919339,0.8671875
6,6,9.048884036821885,0.875
14,14,9.061654944724388,0.8828125
48,48,9.280708056243625,0.890625
10,10,9.303702961339305,0.8984375
13,13,9.312016107562801,0.90625
8,8,9.451440895343772,0.9140625
9,9,9.459168929121606,0.921875
11,11,9.551436379879933,0.9296875
12,12,9.552966881346782,0.9375
47,47,9.62984164739585,0.9453125
46,46,9.838983840712842,0.953125
45,45,9.966903973701491,0.9609375
44,44,10.05134383510699,0.96875
42,42,10.080133379788506,0.9765625
41,41,10.13625511723123,0.984375
43,43,10.148336657165729,0.9921875
40,40,10.156521617552457,1.0
