,Request Id,request_execution_plus_preemption_time,cdf
97,97,5.709298064026532,0.0078125
127,127,5.774191761602665,0.015625
98,98,5.7792512692269495,0.0234375
109,109,5.814215112433825,0.03125
32,32,5.826223125867814,0.0390625
96,96,5.910782895150891,0.046875
114,114,6.00008724627508,0.0546875
31,31,6.0536620049921535,0.0625
71,71,6.054682209484792,0.0703125
63,63,6.067161012992095,0.078125
37,37,6.109965652116381,0.0859375
60,60,6.143621473716886,0.09375
36,36,6.152259156116449,0.1015625
33,33,6.176727258935209,0.109375
30,30,6.241933524116358,0.1171875
34,34,6.2699395342751645,0.125
61,61,6.272836046275116,0.1328125
85,85,6.277366319150886,0.140625
62,62,6.299845716116466,0.1484375
84,84,6.3081728529921755,0.15625
35,35,6.327063892116375,0.1640625
29,29,6.375859431326127,0.171875
83,83,6.500600276116438,0.1796875
75,75,6.519168596116421,0.1875
74,74,6.547631444116465,0.1953125
73,73,6.554265300116471,0.203125
23,23,6.598108872201875,0.2109375
100,100,6.599998510975623,0.21875
59,59,6.624254018360595,0.2265625
72,72,6.6279874373995264,0.234375
4,4,6.631060675936716,0.2421875
28,28,6.658087267060974,0.25
113,113,6.680715444992139,0.2578125
116,116,6.706695022975656,0.265625
99,99,6.707292360258657,0.2734375
115,115,6.716827656258664,0.28125
22,22,6.754320611061049,0.2890625
58,58,6.7755079079367215,0.296875
112,112,6.808985044116445,0.3046875
21,21,6.836043747061032,0.3125
110,110,6.846419437399498,0.3203125
108,108,6.886282690360579,0.328125
111,111,6.889973235240769,0.3359375
5,5,6.912923295435932,0.34375
57,57,6.922874979061029,0.3515625
53,53,6.926822022450497,0.359375
95,95,6.934651896498916,0.3671875
119,119,7.022904011586213,0.375
20,20,7.0633131499202575,0.3828125
117,117,7.064455817834811,0.390625
27,27,7.085394403061009,0.3984375
3,3,7.087156195060975,0.40625
126,126,7.0946988646428295,0.4140625
107,107,7.1011085714115545,0.421875
101,101,7.117317052168881,0.4296875
54,54,7.137083200433965,0.4375
118,118,7.15661706671053,0.4453125
2,2,7.196204930185301,0.453125
26,26,7.200652162185326,0.4609375
125,125,7.22138317792587,0.46875
1,1,7.224019739468353,0.4765625
64,64,7.226853154820296,0.484375
82,82,7.2311898944504875,0.4921875
56,56,7.248244098185352,0.5
121,121,7.256750260667253,0.5078125
24,24,7.263305658592682,0.515625
81,81,7.263788026535869,0.5234375
25,25,7.298583835468367,0.53125
122,122,7.301250073808051,0.5390625
120,120,7.308069715791508,0.546875
0,0,7.3111600495445295,0.5546875
19,19,7.316046374274039,0.5625
86,86,7.326046114920853,0.5703125
55,55,7.330345121309671,0.578125
94,94,7.337345000182422,0.5859375
106,106,7.385354765745563,0.59375
124,124,7.39788428425987,0.6015625
70,70,7.40781666741149,0.609375
18,18,7.433482303557081,0.6171875
80,80,7.436850325395058,0.625
93,93,7.463643777465465,0.6328125
76,76,7.475001330767971,0.640625
38,38,7.49012482379936,0.6484375
123,123,7.510160917542913,0.65625
79,79,7.5167069653950245,0.6640625
105,105,7.517025448604748,0.671875
78,78,7.571956020519347,0.6796875
69,69,7.589155981745503,0.6875
77,77,7.593534163643672,0.6953125
92,92,7.594827284675193,0.703125
104,104,7.5967221197290735,0.7109375
103,103,7.6713218265882706,0.71875
102,102,7.71164262571255,0.7265625
68,68,7.75861623260469,0.734375
91,91,7.844906567009169,0.7421875
67,67,7.861620099463888,0.75
65,65,7.86658381169597,0.7578125
90,90,7.943392873386271,0.765625
66,66,7.969683996746933,0.7734375
17,17,7.998758571339476,0.78125
89,89,8.056859586669315,0.7890625
88,88,8.152405595952365,0.796875
87,87,8.226411765235419,0.8046875
52,52,8.295022126742479,0.8125
39,39,8.44094450704042,0.8203125
16,16,8.506285201504872,0.828125
51,51,8.587609748131783,0.8359375
15,15,8.628789006731347,0.84375
50,50,8.680850603666626,0.8515625
7,7,8.966284947769642,0.859375
49,49,8.990363141881382,0.8671875
6,6,9.045099402005055,0.875
14,14,9.055136650251315,0.8828125
48,48,9.275541789727306,0.890625
10,10,9.300956796048764,0.8984375
13,13,9.307082652245674,0.90625
9,9,9.347373422382791,0.9140625
12,12,9.42654353643172,0.921875
8,8,9.443762672300759,0.9296875
11,11,9.54173447371476,0.9375
47,47,9.626159798845574,0.9453125
46,46,9.834916010136974,0.953125
45,45,9.951945164514092,0.9609375
44,44,10.041205867554226,0.96875
41,41,10.062425978809557,0.9765625
42,42,10.073358903823403,0.984375
43,43,10.14239789080552,0.9921875
40,40,10.151068156727513,1.0
